"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
Edit,Edit
Duplicate,Duplicate
"records found","records found"
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
"Product image","Product image"
"Enable Auto Sorting","Enable Auto Sorting"
"Enable Manual Sorting","Enable Manual Sorting"
Manual,Manual
Auto,Auto
"Move to top","Move to top"
Information,Information
Import,Import
"Choose Target Store","Choose Target Store"
"CSV File","CSV File"
"Amasty: Landing Pages - Page - Product","Amasty: Landing Pages - Page - Product"
"Indexed page/product association","Indexed page/product association"
"Amasty: Landing Pages - Product - Page","Amasty: Landing Pages - Product - Page"
"Indexed product/page association","Indexed product/page association"
Sort,Sort
"Sort order","Sort order"
Store,Store
"Add New Page","Add New Page"
CSV,CSV
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
Enable,Enable
ID,ID
Created,Created
Modified,Modified
"The category products will be displayed based on Amasty Landing Page conditions. At the same time, the landing page is not accessible by a direct link (302 redirect to category page) or seen on the sitemap.","The category products will be displayed based on Amasty Landing Page conditions. At the same time, the landing page is not accessible by a direct link (302 redirect to category page) or seen on the sitemap."
"Product Conditions","Product Conditions"
"Please select the Landing Page product conditions to display the category products. The selected Landing Page becomes unavailable by direct link.","Please select the Landing Page product conditions to display the category products. The selected Landing Page becomes unavailable by direct link."
